Cusip,Isin,Cins,Issuer_Code,Issue_Date,Ticker,Currency,Country,Security_Desc,Security_Type
56565656,US5656565656,,ISS130,2021-01-05,NNN,USD,US,Corporate N,Corporate
77777777,US7777777777,,ISS106,2020-04-20,GGG,EUR,FR,Corporate G,Corporate
88888888,US8888888888,,ISS107,2020-05-25,HHH,USD,US,Treasury H,Treasury
12121212,US1212121212,,ISS120,2020-02-14,VAL,USD,US,Corporate VAL,Corporate
23456789,US2345678901,,ISS109,2020-07-15,JKL,USD,US,Bond J,Corporate
11111111,US1111111111,,ISS100,2020-01-15,AAA,USD,US,Corporate bond A,Corporate
99999999,US9999999999,,ISS108,2020-06-30,III,USD,US,Corporate I,Corporate
44444444,US4444444444,,ISS103,2019-11-30,DDD,GBP,GB,Note D,Note
20202020,US2020202020,,ISS112,2020-10-10,QQQ,USD,US,Corporate Q,Corporate
56565656,US5656565656,,ISS130,2021-01-05,NNN,USD,US,Corporate N,Corporate
