Cusip,Isin,Cins,Issuer_Code,Issue_Date,Ticker,Currency,Country,Security_Desc,Security_Type
12345678,US1234567890,,ISS001,2020-01-15,ABC,USD,US,Sample corporate bond,Corporate
22222222,US2222222222,,ISS101,12/31/2019,BBB,USD,US,Treasury B,Treasury
23456789,US2345678901,,ISS109,2020-07-15,JKL,USD,US,Bond J,Corporate
34567890,US3456789012,,ISS110,08/01/2020,MNO,EUR,DE,Bond K,Corporate
11111111,US1111111111,,ISS100,2020-01-15,AAA123,USD,US,Corporate bond A variant,Corporate
87654321,US0987654321,,ISS002,12/31/2019,XYZ,USD,US,Sample treasury,Treasury
44444444,US4444444444,,ISS103,2019-11-30,DDD,GBP,GB,Note D,Note
99999999,US9999999999,,ISS108,2020-06-30,III,USD,US,Corporate I,Corporate
55555555,US5555555555,,ISS104,01/15/2020,EEE,USD,US,Corporate E,Corporate
10101010,US1010101010,,ISS111,2020-09-09,PPP,USD,US,Note P,Note
