Cusip,Isin,Cins,Issuer_Code,Issue_Date,Ticker,Currency,Country,Security_Desc,Security_Type
12345678,US1234567890,,ISS001,2020-01-15,ABC,USD,US,Sample corporate bond,Corporate
11111111,US1111111111,,ISS100,2020-01-15,AAA,USD,US,Corporate bond A,Corporate
22222222,US2222222222,,ISS101,12/31/2019,BBB,USD,US,Treasury B,Treasury
20202020,US2020202020,,ISS112,2020-10-10,QQQ,USD,US,Corporate Q,Corporate
30303030,US3030303030,,ISS113,2020-11-11,RRR,EUR,DE,Corporate R,Corporate
40404040,US4040404040,,ISS114,2020-12-12,SSS,GBP,GB,Corporate S,Corporate
50505050,US5050505050,,ISS115,01/01/2021,TTT,USD,US,Corporate T,Corporate
66666666,US6666666666,,ISS105,2020-03-10,FFF,USD,US,Corporate F,Corporate
77777777,US7777777777,,ISS106,04/20/2020,GGG,EUR,FR,Corporate G,Corporate
88888888,US8888888888,,ISS107,2020-05-25,HHH,USD,US,Treasury H,Treasury
